Designator,Mid X,Mid Y,Rotation,Layer
C1,5.925,48.5,0.0,top
C10,4.825,6.375,90.0,top
C11,7.325,9.875,0.0,top
C2,10.0,52.25,0.0,top
C3,-2.6,47.7,270.0,top
C4,8.75,46.0,270.0,top
C5,15.1,44.7625,180.0,top
C6,-4.4,47.7,270.0,top
C7,11.75,58.25,270.0,top
C8,14.075,49.7,0.0,top
D1,22.275,52.35,270.0,top
D2,1.575,8.125,90.0,top
J1,26.075,49.975,90.0,top
J2,16.5,59.75,270.0,top
Q1,8.5625,64.75,180.0,top
Q2,21.5625,48.25,180.0,top
R1,5.925,46.75,180.0,top
R10,9.0,60.25,0.0,top
R11,9.0,58.5,0.0,top
R12,8.75,68.25,270.0,top
R13,10.5,68.25,270.0,top
R15,12.5,6.375,90.0,top
R16,11.6,63.925,270.0,top
R2,4.075,8.875,180.0,top
R20,10.5,6.375,90.0,top
R3,17.6,47.2625,90.0,top
R4,10.5,46.0,90.0,top
R5,-2.4,64.5,180.0,top
R6,1.0,64.5,0.0,top
R7,4.4,64.5,0.0,top
R8,9.0,62.0,180.0,top
R9,12.25,68.25,270.0,top
SW1,1.35,47.7,180.0,top
U1,14.725,51.925,90.0,top
U2,-2.6,56.6,90.0,top
U3,9.550001,49.4438,90.0,top
U4,15.125,47.1875,180.0,top
U5,7.575,6.875,270.0,top
